epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.105,0.99589,2.36386,2.01981,0.75076,0.82446,0.86375,0.81698,0.60934,1.69591,0.77816,0.000555243,0.000555243,0.000555243
2,999.392,0.69978,1.15268,1.88049,0.94243,0.88173,0.97037,0.95046,0.6123,0.84584,0.78021,0.000835959,0.000835959,0.000835959
3,1524.75,0.52531,0.8527,1.83484,0.70692,0.85386,0.89055,0.81972,0.70681,1.00852,0.80839,0.000841621,0.000841621,0.000841621
4,2071.87,0.40119,0.68428,1.80321,0.65123,0.89575,0.86351,0.83506,0.57173,1.07458,0.76793,0.000429253,0.000429253,0.000429253
